Owner,Nominal crude steel capacity (ttpa),litpop_value,plant_count,country_count,Latitude,Longitude
ArcelorMittal Nippon Steel India Ltd,86500.0,1028284804.7500484,5,1,19.9366314,81.6597356
JSW Steel Ltd,59859.0,390503654.86848414,5,1,17.52686306,78.32715882
Steel Authority of India Ltd,57190.0,3249196970.62921,8,1,22.683159047542837,85.7173442946815
Nippon Steel Corp,46923.0,13035898661.493433,10,1,35.2976642,135.4098151
Tata Steel Ltd,34080.0,1952889413.1808407,5,1,23.662969,83.9093472
JFE Steel Corp,30768.0,78559959627.55774,5,1,35.6587466,137.6000342
Angang Steel Co Ltd,30250.0,17992253793.146187,3,1,40.99523533333333,121.82794233333334
Jindal Steel Limited Ltd,26700.0,374314226.8259558,5,1,20.9652604,84.242291
Rizhao Steel Holding Group Co Ltd,21650.0,784949051.4879102,1,1,35.16535,119.366672
Baoshan Iron & Steel Co Ltd,19800.0,72345769161.90762,1,1,31.41623,121.440087
Jindal Steel Odisha Ltd,19200.0,322827125.6345241,1,1,20.874713,84.944082
Maanshan Iron & Steel Co Ltd,18940.0,14161932205.740225,1,1,31.698884,118.468194
Jiangsu Shagang Iron & Steel Co Ltd,18305.0,5778523153.580064,1,1,31.983146,120.638992
JSW Steel Ltd; POSCO Holdings Inc,18000.0,165319279.8517694,1,1,20.248632,86.156416
Rungta Mines Ltd,17469.0,307628533.1210734,5,1,21.9107876,85.4521354
Inner Mongolia BaoTou Steel Union Co Ltd,16760.0,563557793.4713724,1,1,40.647997,109.740898
Hunan Valin Lianyuan Iron and Steel Co Ltd,16250.0,4608518568.66061,2,1,27.780956,112.43236
Wuhan Iron and Steel Co Ltd,15907.0,13274108766.720098,1,1,30.616222,114.444975
Bengang Steel Plates Co Ltd,14940.0,10302505895.931911,1,1,41.274132,123.722099
Baosteel Zhanjiang Iron & Steel Co Ltd,14328.0,1178377706.3453572,1,1,21.056035,110.48657
Shougang Jingtang United Iron & Steel Co Ltd,13700.0,102371633.8710309,1,1,38.953664,118.50339
JSW Utkal Steel Ltd,13500.0,105160684.6244372,1,1,20.216667,86.55
Shanxi Taigang Stainless Steel Co Ltd,12460.0,24668432523.352684,1,1,37.931488,112.539321
HBIS Laoting Steel Co Ltd,11500.0,658638310.9064554,1,1,39.257823,119.033567
Xinyu Iron & Steel Corp Ltd,11001.0,7022275672.93845,1,1,27.786859,114.921595
Guangxi Shenglong Metallurgical Co Ltd,10983.0,954514098.9683073,1,1,21.687637,108.412344
Baldota Steel and Power Ltd,10500.0,185356174.34875867,1,1,15.332616,76.206778
Lianfeng Steel (Zhangjiagang) Co Ltd,10040.0,3289812339.6058364,1,1,31.855205,120.730505
JSW Jharkhand Steel Ltd,10001.0,22085261.29316944,1,1,23.188108,85.715097
Hebei Donghai SPECIAL Steel Group Co Ltd,10001.0,1222250055.6719754,1,1,39.610605,118.474722
Nanjing Iron & Steel Co Ltd,10000.0,11508667093.45597,1,1,32.200797,118.746315
JSW Green Steel Ltd,10000.0,5087801.004416001,1,1,18.530853,72.947091
Hebei Yanshan Iron and Steel Group Co Ltd,9990.0,4245679723.9297485,1,1,39.925508,118.672757
Shandong IRON&STEEL Group Rizhao Co Ltd,9800.0,784949051.4879102,1,1,35.188969,119.383723
Beijing Shougang Co Ltd,9600.0,1205952791.2560177,1,1,39.976702,118.558788
Neelachal Ispat Nigam Ltd,9500.0,864289310.3874147,1,1,20.998641,86.019102
Shaanxi LONG MEN IRON&STEEL Co Ltd,9500.0,1050556946.8883605,1,1,35.618466,110.575788
Liuzhou IRON&STEEL Co Ltd,9458.0,21236255107.045433,1,1,24.385304,109.37963
